Data,Hora UTC,Magnitude,Coordenadas,Local
2019-05-04,12:25:00,1.5,-4.88 S; -35.24 W,Litoral do RN Ocean
2020-01-19,07:58:00,1.4,-4.98 S; -35.42 W,Litoral do RN Ocean
2020-01-27,12:33:56,2.2,-5.22 S; -35.23 W,Litoral do RN Ocean
2020-02-14,13:48:54,1.5,-5.76 S; -35.13 W,Litoral do RN RN
2020-04-30,06:14:06,1.7,-4.73 S; -35.02 W,Litoral do RN RN
2020-07-25,17:06:25,2.4,-3.63 S; -35.18 W,Plataforma Continental Entre RN e CE
2020-07-29,08:19:00,3.3,-15.06 S; -38.15 W,Litoral da BA BA
2020-07-29,08:19:43,3.5,-14.85 S; -38.09 W,Litoral da BA BA
2020-08-25,03:23:09,4,5.27 S; -38.87 W,Margem Continental MA/PI/CE
2020-10-27,16:09:14,2.3,-14.25 S; -38.79 W,Mar da Bahia Ocean
2020-11-04,15:23:48,2.1,-14.55 S; -38.67 W,Litoral da Bahia Ocean
2020-11-05,02:45:51,1.6,-13.75 S; -38.82 W,Litoral da Bahia Ocean
2021-03-03,03:35:17,3.5,-16.89 S; -37.32 W,Sul do Oceano Atlântico Ocean
2021-03-03,03:43:26,3.1,-16.94 S; -38.08 W,Sul do Oceano Atlântico Ocean
2021-03-15,20:01:29,2.1,-14.41 S; -38.85 W,Costa da Bahia BA
2021-04-01,23:55:49,4.5,0.84 N; -35.31 W,Atlântico Norte Ocean
2021-04-17,15:52:29,1.6,-6.91 S; -36.72 W,Equador RN
2021-04-19,20:48:07,1.5,-7.47 S; -34.75 W,Costa da Paraíba Pitimbu PB
2021-05-18,19:16:47,1.9,-13.67 S; -38.44 W,Costa da Bahia BA
2021-07-12,04:56:00,2,-4.99 S; -35.08 W,Plataforma Continental RN
2021-07-12,11:56:00,2,-4.99 S; -35.08 W,Plataforma Continental RN
2021-07-19,04:39:33,1.9,-4.94 S; -35.28 W,Plataforma Continental RN
2021-07-22,13:48:34,2.1,-4.88 S; -35.89 W,Plataforma Continental RN
2021-07-24,14:39:21,2.5,-5.05 S; -35.17 W,Plataforma Continental RN
2021-07-24,20:04:28,1.8,-5.27 S; -35.12 W,Plataforma Continental RN
2021-07-25,03:06:00,3,-5.12 S; -35.05 W,Plataforma Continental RN
2021-07-25,03:25:00,1.5,-5.17 S; -35.1 W,Plataforma Continental RN
2021-07-25,03:26:56,3.5,-5.15 S; -35.03 W,Plataforma Continental RN
2021-07-25,03:26:56,3.5,-5.23 S; -35.09 W,Plataforma Continental RN
2021-07-25,03:26:56,3.5,-5.21 S; -35.14 W,Plataforma Continental RN
2021-07-25,03:26:58,3.4,-5.1 S; -35.15 W,Plataforma Continental RN
2021-07-25,03:53:00,2.1,-5.07 S; -35.15 W,Plataforma Continental RN
2021-07-25,04:25:00,1.5,-5.15 S; -35.05 W,Plataforma Continental RN
2021-07-25,04:57:00,2.7,-5.09 S; -35.1 W,Plataforma Continental RN
2021-07-25,14:50:00,2.1,-5.26 S; -35.06 W,Plataforma Continental RN
2021-07-25,15:49:28,2.7,-5.32 S; -34.88 W,Plataforma Continental RN
